CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Ocean,3820,Ocean Township,"$64,350 ","$62,350","$61,532"
Cape May,5800,Wildwood Crest Borough,"$64,344 ","$62,968","$61,852"
Morris,820,Chester Township,"$64,321 ","$59,255","$58,870"
Bergen,440,Bogota Borough,"$64,233 ","$61,896","$61,896"
Bergen,4300,Ramapo-Indian Hill Reg,"$64,182 ","$65,533","$64,649"
Hunterdon,1510,Flemington-Raritan Reg,"$64,160 ","$64,220","$63,610"
Warren,2040,Harmony Township,"$64,115 ","$62,445","$60,640"
Cape May,720,Cape May Co Vocational,"$64,107 ","$64,607","$65,607"
Bergen,890,Cliffside Park Borough,"$64,090 ","$63,850","$63,500"
Warren,4200,Pohatcong Township,"$64,065 ","$64,065","$60,528"
Monmouth,2400,Keansburg Borough,"$64,065 ","$64,065","$57,035"
Warren,3675,North Warren Regional,"$63,995 ","$62,787","$60,760"
Cumberland,950,Commercial Township,"$63,983 ","$61,692","$62,462"
Middlesex,2150,Highland Park Borough,"$63,945 ","$61,907","$65,727"
Middlesex,3140,Middlesex Borough,"$63,914 ","$65,604","$58,891"
Monmouth,2120,Henry Hudson Regional,"$63,876 ","$63,364","$62,791"
Hudson,4730,Secaucus Town,"$63,782 ","$63,782","$62,686"
Hunterdon,4350,Readington Township,"$63,763 ","$64,473","$62,670"
Ocean,4190,Plumsted Township,"$63,760 ","$61,685","$58,490"
Morris,2010,Harding Township,"$63,735 ","$63,210","$63,065"
Middlesex,3620,North Brunswick Township,"$63,695 ","$63,549","$62,670"
Mercer,7540,Princeton Charter School,"$63,537 ","$61,492","$62,930"
Essex,4530,Roseland Borough,"$63,529 ","$63,153","$62,485"
Burlington,4460,Riverton,"$63,528 ","$67,970","$63,188"
Morris,2650,Lincoln Park Borough,"$63,485 ","$61,895","$60,825"
Essex,6665,The Gray Charter School,"$63,426 ","$63,639","$60,096"
Passaic,2700,Little Falls Township,"$63,410 ","$59,710","$65,210"
Camden,3110,Merchantville Borough,"$63,393 ","$61,823","$61,823"
Morris,1110,Dover Town,"$63,342 ","$64,270","$63,283"
Warren,2250,Hope Township,"$63,310 ","$55,740","$53,520"
Hunterdon,430,Bloomsbury Borough,"$63,288 ","$60,955","$58,940"
Burlington,3920,Palmyra Borough,"$63,263 ","$60,518","$60,611"
Middlesex,4660,Sayreville Borough,"$63,228 ","$58,828","$57,778"
Monmouth,5420,Wall Township,"$63,200 ","$59,800","$61,400"
Bergen,80,Alpine Borough,"$63,199 ","$65,087","$62,539"
Burlington,5720,Westampton,"$63,120 ","$61,390","$60,063"
Hunterdon,2140,High Bridge Borough,"$63,105 ","$65,905","$67,505"
Cape May,5340,Upper Township,"$63,030 ","$63,968","$62,665"
Gloucester,2750,Logan Township,"$63,020 ","$63,370","$62,341"
Monmouth,2930,Manasquan Borough,"$63,010 ","$64,375","$61,016"
Ocean,4105,Pinelands Regional,"$63,000 ","$63,500","$61,500"
Essex,6057,Peoples Preparatory Charter,"$63,000 ","$52,500","$56,339"
