Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment,PUMS Monthly mortgage payment.1
Minnesota,215.9110989,519.688324,
Mississippi,161.0698935,251.65763900000002,
Missouri,200.5917936,358.18088,
Montana,176.9033612,350.131594,
Nebraska,213.0006329,383.14004900000003,
Nevada,379.0419008,414.89519,
New Hampshire,232.69309159999997,541.101262,
New Jersey,366.7229383,758.659336,
New Mexico,203.760568,351.688879,
New York,477.4317067,489.153489,
North Carolina,221.8099248,373.031746,
North Dakota,218.36225770000001,292.429377,
Ohio,212.44906919999997,360.550862,
Oklahoma,199.22595769999998,293.70694100000003,
Oregon,313.5010992,471.065511,
Pennsylvania,224.72910750000003,411.135205,
Rhode Island,305.9394079,519.767929,
South Carolina,195.6918825,325.905479,
South Dakota,179.3182945,322.205856,
Tennessee,208.778174,341.177416,
Texas,284.5748839,368.356383,
Utah,240.7229621,553.867635,
Vermont,202.6570396,358.439232,
Virginia,332.2140676,626.408508,
Washington,342.1274126,575.787106,
West Virginia,124.69346850000001,207.153593,
Wisconsin,214.00568819999998,392.449472,
Wyoming,191.49284519999998,374.848741,
Alabama,182.1332449,284.50642660000005,
Alaska,322.95151860000004,454.96254270000003,
Arizona,290.0252673,366.5987728,
Arkansas,182.2581252,249.1230424,
California,546.4063051,616.1841375,
Colorado,320.1340948,543.644573,
Connecticut,320.92994219999997,680.8652485,
Delaware,223.44655899999998,462.07657489999997,
District of Columbia,747.9212377,530.6451357,
Florida,280.9361498,349.395654,
Georgia,274.4192253,391.805812,
Hawaii,548.1145742000001,608.0660644,
Idaho,201.07492549999998,385.5302784,
Illinois,286.3763918,479.14506600000004,
Indiana,205.7252253,334.77750960000003,
Iowa,184.6645327,334.2731491,
Kansas,230.0696912,355.8620776,
Kentucky,184.6779841,294.5406866,
Louisiana,215.8112264,300.7018178,
Maine,176.9925035,303.345272,
Maryland,367.9524249,705.2541855000001,
Massachusetts,382.8685753,611.2963459,
Michigan,193.3332105,333.9157526,
Minnesota,218.24039390000002,505.81549119999994,
Mississippi,179.6847861,240.1257349,
Missouri,211.7352629,346.68916989999997,
Montana,195.61674219999998,338.5285538,
Nebraska,229.56032059999998,369.2517202,
Nevada,382.51466969999996,368.81113389999996,
New Hampshire,250.8047708,514.6748623999999,
New Jersey,382.2367642,708.1484805,
New Mexico,201.0323444,332.21285689999996,
New York,487.468453,472.7311716,
North Carolina,235.3830689,355.1643474,
North Dakota,242.39814559999996,281.3012411,
Ohio,217.9257337,349.9501234,
Oklahoma,206.8498827,295.0031111,
Oregon,329.57453239999995,452.23835419999995,
Pennsylvania,231.8970766,395.1060367,
Rhode Island,314.8623527,491.30999569999994,
South Carolina,198.0379075,325.8942164,
South Dakota,182.9779691,295.4978377,
Tennessee,215.71191040000002,329.55384060000006,
Texas,300.0965705,360.988319,
Utah,248.5048889,513.2450614,
Vermont,193.4489066,337.0379643,
Virginia,354.2236799,593.2328307999999,
Washington,358.5160786,551.6868873,
West Virginia,127.37856940000002,214.8429222,
Wisconsin,218.1940329,372.88667210000006,
Wyoming,197.6520712,371.7545419,
Alabama,184.5546659,287.039276,
Alaska,350.78478210000003,490.08938600000005,
Arizona,306.80958030000005,359.06464700000004,
Arkansas,185.8925822,244.25790800000001,
California,568.2118327000001,612.493043,
Colorado,340.952581,554.233504,
Connecticut,338.229201,682.6857,
Delaware,256.2232992,471.751886,
District of Columbia,800.5441433999999,509.050081,
Florida,298.964025,339.320894,
Georgia,284.10941210000004,383.46656,
Hawaii,560.0863072000001,591.352227,
Idaho,206.565792,375.444345,
Illinois,295.7686038,471.593188,
Indiana,208.3794425,332.168053,
Iowa,187.5120217,346.451613,
Kansas,233.07335719999998,350.858842,
Kentucky,193.9807398,288.176628,
Louisiana,229.54305809999997,286.316891,
Maine,156.6094479,333.595665,
Maryland,379.72728010000003,697.651969,
Massachusetts,393.4627599,611.783332,
Michigan,201.21289919999998,330.499129,
Minnesota,221.48429500000003,502.084242,
Mississippi,178.6048042,242.95130099999997,
Missouri,217.16542489999998,343.205386,
Montana,194.5237765,321.470454,
Nebraska,232.2345363,365.3202,
Nevada,395.92416569999995,357.538497,
New Hampshire,249.70662969999998,535.621337,
New Jersey,401.3928887,704.410894,
New Mexico,213.079837,319.74872,
New York,510.59929189999997,470.12848899999995,
North Carolina,245.66191030000002,359.194787,
North Dakota,259.01705400000003,266.371593,
Ohio,226.7729711,343.392085,
Oklahoma,216.4245179,290.113106,
Oregon,340.9965283,436.193066,
Pennsylvania,237.6767972,395.878506,
Rhode Island,340.048702,474.30599000000007,
South Carolina,209.4273938,311.668911,
South Dakota,188.3880116,318.677975,
Tennessee,223.91977119999999,332.438109,
Texas,319.940155,360.89415299999996,
Utah,250.265791,532.554353,
Vermont,211.33072310000003,371.800942,
Virginia,360.24327239999997,602.367349,
Washington,373.0466306,547.805813,
West Virginia,133.8066663,198.3393,
Wisconsin,232.04016439999998,378.277216,
Wyoming,232.51955780000003,364.654425,
 -> Total,14874.57201,287.039276,
Alabama,180.65190900000002,490.08938600000005,
Alaska,341.0697683,359.06464700000004,
Arizona,303.59990689999995,244.25790800000001,
Arkansas,196.9341087,612.493043,
California,590.7903246000001,554.233504,
Colorado,371.51917960000003,682.6857,
Connecticut,346.74679419999995,471.751886,
Delaware,243.3064372,509.050081,
District of Columbia,799.9675513,339.320894,
Florida,317.11723010000003,383.46656,
Georgia,301.37989419999997,591.352227,
Hawaii,564.8941574,375.444345,
Idaho,199.979741,471.593188,
Illinois,311.6701843,332.168053,
Indiana,214.2910239,346.451613,
Iowa,194.68239690000001,350.858842,
Kansas,237.26162999999997,288.176628,
Kentucky,202.6947964,286.316891,
Louisiana,228.8166858,333.595665,
Maine,164.8054421,697.651969,
Maryland,389.2279293,611.783332,
Massachusetts,413.0961749,330.499129,
Michigan,204.74906909999999,502.084242,
Minnesota,239.9688755,242.95130099999997,
Mississippi,185.73433740000002,343.205386,
Missouri,226.7726662,321.470454,
Montana,206.5469546,365.3202,
Nebraska,240.48916769999997,357.538497,
Nevada,406.1505797,535.621337,
New Hampshire,252.95131260000002,704.410894,
New Jersey,410.0027072,319.74872,
New Mexico,203.7554862,470.12848899999995,
New York,517.3181632000001,359.194787,
North Carolina,253.5284483,266.371593,
North Dakota,256.88518250000004,343.392085,
Ohio,233.9261188,290.113106,
Oklahoma,212.083654,436.193066,
Oregon,343.9374766,395.878506,
Pennsylvania,247.2822994,474.30599000000007,
Rhode Island,334.7233842,311.668911,
South Carolina,215.75455330000003,318.677975,
South Dakota,187.89240800000002,332.438109,
Tennessee,231.5608298,360.89415299999996,
Texas,333.400863,532.554353,
Utah,263.87560890000003,371.800942,
Vermont,202.86875680000003,602.367349,
Virginia,370.2349107,547.805813,
Washington,383.1538519,198.3393,
West Virginia,141.5343604,378.277216,
Wisconsin,232.7429574,364.654425,
Wyoming,220.24375719999998,,
Alabama,185.4858092,293.5104691,
Alaska,326.4456951,469.4396534,
Arizona,308.40062830000005,395.09041460000003,
Arkansas,199.6198822,249.13458430000003,
California,616.9735092,645.9516027000001,
Colorado,375.56015160000004,589.5266987000001,
Connecticut,363.9696694,673.6790771000001,
Delaware,260.08167000000003,443.3247041999999,
District of Columbia,783.5479578,547.7672066,
Florida,325.4026415,353.685854,
Georgia,316.24269189999995,397.65126660000004,
Hawaii,564.2857457,611.2115755,
Idaho,213.32668309999997,397.271517,
Illinois,317.9153522,479.40442879999995,
Indiana,216.58114410000002,340.3205309,
Iowa,197.1000415,372.3812441,
Kansas,247.0613079,363.34238930000004,
Kentucky,194.55144109999998,302.0668435,
Louisiana,233.3773661,298.2764818,
Maine,159.1740003,333.1037185,
Maryland,398.371299,716.9577155000001,
Massachusetts,420.27772400000003,652.6355635,
Michigan,212.10228360000002,344.93994910000004,
Minnesota,244.48272459999998,519.7379716,
Mississippi,185.5324805,249.0594267,
Missouri,227.2745395,347.7338305,
Montana,187.626177,370.27276800000004,
Nebraska,245.6283241,376.34765130000005,
Nevada,405.85078639999995,395.4767855,
New Hampshire,254.788265,541.3080699,
New Jersey,419.34979500000003,725.2281468,
New Mexico,212.9888344,303.637344,
New York,525.4944336,475.1568317,
North Carolina,256.0440578,365.5058966,
North Dakota,245.6266914,303.8954537,
Ohio,239.2103383,351.39196810000004,
Oklahoma,223.5760741,300.7823543,
Oregon,367.5413504,485.28146150000003,
Pennsylvania,251.2121684,405.09306160000006,
Rhode Island,349.981565,464.57055589999993,
South Carolina,216.58230919999997,334.14126519999996,
South Dakota,201.5428149,349.8833798,
Tennessee,247.38732459999997,336.5708412,
Texas,340.60841919999996,388.1707054,
Utah,264.3406229,542.383282,
Vermont,209.56590569999997,385.3831625,
Virginia,369.64328900000004,610.6398985000001,
Washington,410.3870805,587.2577241,
West Virginia,140.7285967,216.294033,
Wisconsin,235.7937989,376.54369610000003,
Wyoming,213.2635344,372.57738939999996,
Alabama,185.62578269999997,293.5104691,
Alaska,345.18554869999997,469.4396534,
Arizona,309.9469376,395.09041460000003,
Arkansas,201.5730967,249.13458430000003,
California,632.1757938999999,645.9516027000001,
Colorado,388.81313900000004,589.5266987000001,
Connecticut,346.57268389999996,673.6790771000001,
Delaware,243.9699991,443.3247041999999,
District of Columbia,806.7950248,547.7672066,
Florida,328.6360892,353.685854,
Georgia,312.8268316,397.65126660000004,
